Date,Open,High,Low,Close,Adj Close,Volume,Turnover
5/5/1998,11507,11559,11346,11555,11555,12337668940,77204066.39
5/6/1998,11555,11625,11152,11165,11165,12095070570,55187690.47
5/7/1998,11165,11233,11009,11063,11063,14015835270,110027106
5/8/1998,11065,11342,11065,11220,11220,10665627060,95114530.78
5/11/1998,11220,11369,10948,10983,10983,10678550190,57119955.98
5/12/1998,10983,10985,10591,10798,10798,9924308000,62651764.98
5/13/1998,10798,10853,10675,10779,10779,10047558530,92354925.26
5/14/1998,10779,10981,10724,10734,10734,10234018810,78501773.55
5/15/1998,10736,10924,10736,10906,10906,4659363820,46766390.43
5/18/1998,10906,10908,10010,10205,10205,11093573880,74154794.15
5/19/1998,10209,10452,10209,10343,10343,14190824060,80186320.28
5/20/1998,10343,10519,10007,10408,10408,10066785770,76418740.39
5/21/1998,10408,10592,10243,10269,10269,6923394440,69677393.22
5/22/1998,10269,10279,10072,10240,10240,7037641200,32241095.15
5/25/1998,10240,10240,9891,10015,10015,4008268280,19755598.27
5/26/1998,10015,10017,9414,9436,9436,7341662060,66835079.41
5/27/1998,9436,9748,8971,9748,9748,11056373470,99289473.61
5/28/1998,9748,10213,9685,10152,10152,12740066480,83598199.21
5/29/1998,10152,10162,9843,9847,9847,9002630420,45833457.24
6/1/1998,9750,9750,9486,9605,9605,9491205950,80071907.79
6/2/1998,9609,10151,9609,10150,10150,11686524570,107563105.4
6/3/1998,10150,10287,9761,9856,9856,12850541050,78317895.83
6/4/1998,9856,10211,9853,10191,10191,9735832260,30731131.42
6/5/1998,10191,10447,10151,10370,10370,6672187080,35053494.37
6/8/1998,10370,10563,10267,10540,10540,7674268920,38055384.4
6/9/1998,10540,10550,10333,10370,10370,10874032900,28910538.85
6/10/1998,10369,10369,9835,9868,9868,6523090570,27005228.59
6/12/1998,9863,9863,9311,9585,9585,8955653670,58385150.49
6/15/1998,9582,9582,9062,9074,9074,14476083260,66075838.23
6/16/1998,9077,9321,9077,9249,9249,10435620650,73889777.59
6/17/1998,9416,9908,9416,9897,9897,16529980920,77881688.96
6/18/1998,9897,9897,9461,9539,9539,9945403630,42041205.63
6/19/1998,9539,9746,9539,9687,9687,7646044040,34699789.36
6/22/1998,9687,9694,9520,9623,9623,5277890440,26354198.7
6/23/1998,9622,9955,9622,9937,9937,8376081380,28709123.81
6/24/1998,9937,9948,9775,9856,9856,10012186950,35492908.39
6/25/1998,9856,9978,9513,9528,9528,10448328370,43400044.9
6/26/1998,9528,9565,9269,9464,9464,7533364270,40663142.55
6/29/1998,9464,9632,9464,9604,9604,5833807350,27751390.99
6/30/1998,9604,9809,9604,9678,9678,15753885890,35805280
7/1/1998,9678,9925,9678,9915,9915,7753091940,39083539.91
7/2/1998,9915,9915,9788,9901,9901,7842473270,32296800.73
7/3/1998,9901,10116,9901,10116,10116,2939786100,17675533.12
7/6/1998,10116,10116,9886,10018,10018,5803437250,64384984.71
7/7/1998,10018,10218,10013,10205,10205,6847197690,49025824.49
7/8/1998,10205,10387,10202,10336,10336,10519536720,58137489.5
7/10/1998,10336,10381,10173,10327,10327,7333527910,33262095.92
7/13/1998,10353,10462,10353,10420,10420,6362425230,50052983.24
7/14/1998,10420,10673,10419,10642,10642,11266376050,63394626.13
7/15/1998,10642,10792,10579,10649,10649,13205294750,71799449.31
7/16/1998,10691,10921,10691,10908,10908,8943633930,79991189.42
7/17/1998,10908,11110,10908,11057,11057,11329037830,71108108.95
7/20/1998,11057,11097,10950,11041,11041,8292739870,58378811.97
7/21/1998,11041,11156,10899,10923,10923,9678203740,105518739.6
7/22/1998,10923,10932,10719,10912,10912,10162605260,78406885.61
7/23/1998,10912,10913,10635,10640,10640,8732569310,84137248.87
7/24/1998,10640,10784,10403,10575,10575,8191723480,83524033.75
7/27/1998,10575,10580,10324,10564,10564,8854133410,71594034.45
7/28/1998,10564,10710,10234,10318,10318,13925161850,88999418.69
7/29/1998,10319,10756,10319,10542,10542,6772925080,49895894.74
7/30/1998,10543,11064,10543,10939,10939,12083592330,64103532.1
7/31/1998,10939,10996,10643,10707,10707,8617900520,37853259.41
8/3/1998,10705,10705,10399,10413,10413,5734665830,44003317.46
8/4/1998,10413,10510,9840,9860,9860,13539564640,68575919.27
8/5/1998,9860,9961,9558,9828,9828,12075575680,72503567.15
8/6/1998,9780,9780,9617,9690,9690,8737978360,51678572.19
8/7/1998,9690,9690,9194,9319,9319,10914347660,70099099.31
8/10/1998,9319,9319,9031,9182,9182,7352396560,62537212
8/11/1998,9174,9174,8658,8802,8802,11956095470,68325335.26
8/12/1998,8802,9066,8400,8417,8417,15690537280,69605035.73
8/13/1998,8417,8786,8364,8711,8711,11993267950,48043775.15
8/14/1998,8711,8981,8609,8744,8744,9372661540,28551591.07
8/17/1998,8744,8747,8492,8610,8610,12280656570,103470765
8/18/1998,8610,8679,8383,8643,8643,9595847000,63204372.09
8/19/1998,8643,8842,8496,8542,8542,11806097540,40708291.87
8/20/1998,8542,8542,7972,7992,7992,10073296200,43552207.46
8/21/1998,7800,7991,7191,7764,7764,15681779830,75926693.44
8/24/1998,7764,7888,7496,7655,7655,7175938880,32438398.81
8/25/1998,7655,7933,7520,7648,7648,9277756770,303787.49
8/26/1998,7645,7645,7302,7348,7348,10570284370,359540.72
8/27/1998,7339,7339,6577,6617,6617,13357164130,349375.17
8/28/1998,6617,6890,6530,6746,6746,11566072760,344102.72
8/31/1998,6746,6788,6454,6472,6472,8107624770,251758.24
9/1/1998,6472,6950,6387,6917,6917,13116737890,475942.32
9/2/1998,6917,7105,6794,6805,6805,14669376450,396882.83
9/3/1998,6782,6782,6187,6219,6219,14443292150,415282.98
9/4/1998,6219,6441,5354,5837,5837,16847213130,440398.75
9/8/1998,5837,6130,5687,5818,5818,13039390110,349888.6
9/9/1998,5816,5816,5627,5655,5655,12503416430,283371.23
9/10/1998,5653,5653,4751,4761,4761,15465604840,362056.71
9/11/1998,4761,5400,4576,5398,5398,16830839150,475432.49
9/14/1998,5398,5844,5275,5818,5818,10919732730,307819.26
9/15/1998,5819,6905,5601,6905,6905,20476245080,613570.47
9/16/1998,6905,7453,6509,6760,6760,14998362200,367530.81
9/17/1998,6758,6758,6078,6432,6432,11251322210,452393.94
9/18/1998,6432,6737,6432,6710,6710,7749969320,337735.92
9/21/1998,6707,6707,6201,6450,6450,3190050570,48084.26
9/22/1998,6451,6725,6451,6560,6560,6081749800,80591.38
9/23/1998,6561,7295,6561,7280,7280,7218122680,147050.16
9/24/1998,7280,7385,6812,6844,6844,10157480180,127667.7
9/25/1998,6834,6834,6411,6712,6712,6686669580,89211.37
9/28/1998,6755,7036,6755,6827,6827,5003525300,63393.24
9/29/1998,6827,6884,6651,6869,6869,5541476440,73250.99
9/30/1998,6866,6866,6565,6593,6593,4318025860,67126.77
10/1/1998,6593,6593,5951,5960,5960,7080842030,76498.53
10/2/1998,5961,6419,5961,6410,6410,5483360450,105053.08
10/5/1998,6354,6354,5997,6123,6123,2020586730,21193852.02
10/6/1998,6139,6524,6139,6336,6336,5093147950,65323.66
10/7/1998,6336,6423,6009,6157,6157,8722298210,33006446.27
10/8/1998,6157,6195,5878,6175,6175,5111682341,27444065.94
10/9/1998,6180,6528,6180,6528,6528,6018994730,36472293.66
10/13/1998,6528,6681,6516,6618,6618,6525812820,35605869.75
10/14/1998,6617,6617,6440,6445,6445,8772062300,36493915.79
10/15/1998,6445,6889,6291,6874,6874,13142471715,52369818.81
10/16/1998,6874,6926,6634,6707,6707,7401158642,42918028.53
10/19/1998,6707,6971,6659,6844,6844,7641830029,59073622.33
10/20/1998,6845,7074,6845,6973,6973,10179524620,66434730.04
10/21/1998,6973,7381,6944,7350,7350,10020945360,87570595.91
10/22/1998,7350,7630,7276,7603,7603,13716281040,79020515.53
10/23/1998,7602,7602,7268,7272,7272,7638824670,46816198.83
10/26/1998,7272,7331,6944,6972,6972,4591643824,34232559.51
10/27/1998,6972,7173,6759,6869,6869,7849530000,37129142.51
10/28/1998,6869,7139,6738,6827,6827,8884607090,59581138.19
10/29/1998,6820,6820,6462,6538,6538,6189270620,48837821.39
10/30/1998,6611,7108,6611,7047,7047,10321680890,45157249.87
11/3/1998,7047,7515,7047,7509,7509,10575361833,56742551.39
11/4/1998,7509,7835,7509,7656,7656,9493246740,81475626.62
11/5/1998,7656,8113,7585,8093,8093,9897345870,59448848.4
11/6/1998,8113,8370,8113,8214,8214,12817391090,69196190.43
11/9/1998,8214,8348,8157,8242,8242,9365300630,50143918.41
11/10/1998,8242,8242,7964,8000,8000,7029327820,51378404.05
11/11/1998,8000,8228,7751,7763,7763,11267705710,64946725.67
11/12/1998,7763,7928,7444,7471,7471,8785146131,44158706.45
11/13/1998,7471,7844,7463,7615,7615,7125817360,34231031.81
11/16/1998,7615,8004,7615,8004,8004,5265266640,18701217.41
11/17/1998,8004,8356,8004,8330,8330,10926086881,67806665.98
11/18/1998,8330,8628,8280,8547,8547,11519391110,63288704.27
11/19/1998,8547,8609,8307,8318,8318,11597434180,62555454.39
11/20/1998,8318,8615,8317,8531,8531,8428464650,46715398.63
11/23/1998,8531,8731,8518,8636,8636,14036445670,48363805.88
11/24/1998,8636,8636,8392,8607,8607,13116478040,33259668.2
11/25/1998,8607,8935,8548,8910,8910,11965548100,43988589.29
11/26/1998,8910,9065,8875,8954,8954,10530926930,43288813.28
11/27/1998,8954,9128,8918,9094,9094,8443254530,36847445.61
11/30/1998,9094,9095,8628,8631,8631,6284515570,29301416.21
12/1/1998,8631,8631,8242,8545,8545,8372129400,42232162.36
12/2/1998,8545,8738,8348,8449,8449,8108845750,34816881.97
12/3/1998,8446,8446,7626,7706,7706,12421840140,92640207.75
12/4/1998,7706,7936,7506,7627,7627,6223902140,29417383.15
12/7/1998,7627,7972,7627,7946,7946,6725364930,34146837.98
12/8/1998,7946,8024,7606,7629,7629,6161201140,34547267.07
12/9/1998,7629,7773,7431,7573,7573,5537523670,33513253.77
12/10/1998,7573,7734,7502,7530,7530,4852778660,38568043.95
12/11/1998,7530,7531,7146,7195,7195,4508053660,25337933.03
12/14/1998,7195,7196,6554,6584,6584,6650648550,97892028.74
12/15/1998,6584,6968,6481,6934,6934,8648784160,47425142.1
12/16/1998,6934,7039,6430,6619,6619,12962136930,75276880.48
12/17/1998,6619,6756,6378,6645,6645,4493759480,31461285.64
12/18/1998,6645,6787,6588,6782,6782,3333740670,55159404.46
